,ProductId,Title,Description,Vendor,ProductType,Price,ImageURL,ProductURL
51,7531074977854,EnergyShroom PB300 Air,"10000mAh Powerbank with 2-way 22.5W fast charging, LED battery display, 12 Layer Smart IC Protection",simba,powerbank,1999.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/300_Air.jpg?v=1715238179,https://boatai.myshopify.com/products/energyshroom-pb300-air
52,7531075207230,EnergyShroom PB300 Avenger Edition,"Powerbank with 10000mAh battery capacity, 12-Layer Smart IC Protection, 22.5W Fast Charging",simba,powerbank,2999.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/PB_300_Marvel.jpg?v=1715238183,https://boatai.myshopify.com/products/energyshroom-pb300-avenger-edition
53,7531075338302,EnergyShroom PB300 Black Panther Edition,"10000mAh Powerbank with 22.5W Fast Charging, 12-Layer Smart IC Protection, Universal Compatibility",simba,powerbank,2999.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/PB_300_Black_Panther.jpg?v=1715238185,https://boatai.myshopify.com/products/energyshroom-pb300-black-panther-edition
54,7531075108926,EnergyShroom PB310 Wireless Pro,"Powerbank with 15W Wireless Charging, 22.5W Wired Fast Charging, 12 Layer Smart IC Protection",simba,powerbank,3499.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/ES_310_wireless.jpg?v=1715238181,https://boatai.myshopify.com/products/energyshroom-pb310-wireless-pro
55,7531074912318,Energyshroom PB400,Powerbank with 20000mAh battery capacity with Smart IC protection,simba,powerbank,4499.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/PB400_628ae039-11be-4f0b-b723-651e2bb05de7.jpg?v=1715238177,https://boatai.myshopify.com/products/energyshroom-pb400
56,7531076386878,EnergyShroom PB9,2-Way Fast Charging QC 3.0 support\nSmart IC Protection,simba,powerbank,1999.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/Pb9-1_300x_7085eb10-01b3-4518-9474-f5cf4f7138cf.png?v=1715238212,https://boatai.myshopify.com/products/energyshroom-pb9
57,7531060789310,Immortal 100,ENx™ Technology BEAST™ Mode\nIWP Technology,simba,Gaming Headphones,3299.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/Immortal_100.webp?v=1715237980,https://boatai.myshopify.com/products/immortal-100
58,7531061182526,Immortal 101,ENx™ Technology BEAST™ Mode\nBlazing RGB Lights,simba,Gaming Headphones,3299.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/IM_101.jpg?v=1715237987,https://boatai.myshopify.com/products/immortal-101
59,7531061346366,Immortal 111,Immortal 111 BEAST™ Mode 40 Hours Playback\nENx™ Technology\n,simba,Gaming Headphones,3449.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/IM_111.jpg?v=1715237992,https://boatai.myshopify.com/products/immortal-111
60,7531060723774,Immortal 121 Deadpool Edition,Immortal 121 Deadpool Edition ENx™ Technology 40 Hours Playback\nBlazing RGB Lights\nOut of Stock,simba,Gaming Headphones,3999.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/IM_121_DP.jpg?v=1715237978,https://boatai.myshopify.com/products/immortal-121-deadpool-edition
61,7531061051454,Immortal 121 Hulk Edition,Immortal 121 Hulk Edition ENx™ Technology 40 Hours Playback\nBlazing RGB Lights\nOut of Stock,simba,Gaming Headphones,3999.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/IM_121_HULK.jpg?v=1715237985,https://boatai.myshopify.com/products/immortal-121-hulk-edition
62,7531060559934,Immortal 171,Up to 40HRS Playback BEAST™ Mode\nIWP Technology,simba,Gaming Headphones,3499.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/IM_171.jpg?v=1715237976,https://boatai.myshopify.com/products/immortal-171
63,7531061477438,Immortal 181,ENx™ Technology BEAST™ Mode\nASAP™ Charge,simba,Gaming Headphones,3599.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/Immortal_181.webp?v=1715237994,https://boatai.myshopify.com/products/immortal-181
64,7531061280830,Immortal 200,50mm Drivers Noise Isolating Mic\nReal RGB LEDs,simba,Gaming Headphones,2999.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/Immortal_200.psb.jpg?v=1715237990,https://boatai.myshopify.com/products/immortal-200
65,7531060953150,Immortal 201,ENx™ Technology BEAST™ Mode\nASAP™ Charge,simba,Gaming Headphones,3499.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/IM_201.jpg?v=1715237983,https://boatai.myshopify.com/products/immortal-201
66,7531069407294,Matrix,Always On Display Activity Tracker,simba,smart watch,11990.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/Matrix.jpg?v=1715238065,https://boatai.myshopify.com/products/matrix
67,7531072487486,Misfit Groom 100,"Professional Trimmer for Men with 120 mins Runtime, Premium Matte Finish, Multiple Range Settings",simba,Trimmers,2499.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/Groom_100.jpg?v=1715238131,https://boatai.myshopify.com/products/misfit-groom-100
68,7531071995966,Misfit Groom 100 3 in 1,120 Minutes Runtime Premium Matte Finish\nType-C charging,simba,Trimmers,3499.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/Groom_100_3_in_1.jpg?v=1715238121,https://boatai.myshopify.com/products/misfit-groom-100-3-in-1
69,7531072421950,Misfit Groom 300,"Trimmer with 120 Minutes Runtime, 20 Length Settings, Premium Matte Finish, Type-C Charging",simba,Trimmers,2999.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/Groom_300_1.jpg?v=1715238129,https://boatai.myshopify.com/products/misfit-groom-300
70,7531072323646,Misfit Groom 700,"Trimmer with 180 Minutes Runtime, 40 Length Settings, Premium Matte Finish, Type-C Charging",simba,Trimmers,4499.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/Groom_700.jpg?v=1715238127,https://boatai.myshopify.com/products/misfit-groom-700
71,7531072159806,Misfit Groom 700 3 in 1,"Grooming Kit with 180 Minutes Runtime, 3 Attachments, 0.5-20 mm Length Settings",simba,Trimmers,5499.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/Groom_700_3_in_1.jpg?v=1715238125,https://boatai.myshopify.com/products/misfit-groom-700-3-in-1
72,7531072094270,Misfit Groom 700 5 in 1,Ceramic Blades 5 Attachments\n180 Minutes Runtime,simba,Trimmers,6999.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/Groom_700_5_in_1.jpg?v=1715238123,https://boatai.myshopify.com/products/misfit-groom-700-5-in-1
73,7531073011774,Misfit T150 Trimmer,"Titanium Coated Water Resistant Yes Charging Time 1 hour Suitable For Body Grooming, Beard &amp; Moustache, Nose, Ear &amp; Eyebrow",simba,Trimmers,3499.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/main_300x_7aab337c-dd90-4628-a4b9-410a6e07daa6.png?v=1715238140,https://boatai.myshopify.com/products/misfit-t150-trimmer
74,7531072618558,Misfit T200 3-in-1 Grooming Kit for Men,"Titanium Blades, 120 min Runtime with 5 Length Settings, USB Charging, Cord/Cordless Usage",simba,Trimmers,3999.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/Untitled-3_300x_b2e7b3bb-c0fc-45a3-ac91-e3ab3d90e65e.png?v=1715238134,https://boatai.myshopify.com/products/misfit-t200-3-in-1-grooming-kit-for-men
75,7531072749630,Misfit T30 Trimmer,Titanium Coated Trimming Range 0.5 - 12 mm Water Resistant Yes Charging Time 1 hour,simba,Trimmers,1499.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/main_grey_300x_c0f163a1-de70-4b73-9da8-5680d25f4a73.png?v=1715238136,https://boatai.myshopify.com/products/misfit-t30-trimmer
76,7531072913470,Misfit T50 Lite,Titanium Coated Trimming Range 0.5 - 20 mm Water Resistant Yes Charging Time 1 hour,simba,Trimmers,1999.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/main_300x_a4410701-8bc7-49ab-82d3-4e8d0cb0724c.png?v=1715238138,https://boatai.myshopify.com/products/misfit-t50-lite
77,7531073142846,Misfit T50 Trimmer,Titanium Coated Trimming Range 0.5 - 20 mm Water Resistant Yes Charging Time 1 hour,simba,Trimmers,2499.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/main_blue_300x_e4f72f65-d121-4164-b5ad-f03371cf6e19.png?v=1715238142,https://boatai.myshopify.com/products/misfit-t50-trimmer
78,7531067801662,Nirvana Ion,ENx™ Technology BEAST™ Mode\nDual EQ Modes,simba,Wireless Earbuds,7990.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/Nirvana_Ion.jpg?v=1715238030,https://boatai.myshopify.com/products/nirvana-ion
79,7531076812862,Rockerz 103 Pro,"Wireless Earphones with 10 mm Drivers, Single Press Voice Assistant, Up To 20 Hours Uninterrupted, ENx™ Technology",simba,NeckBand,2490.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/R103_Pro.jpg?v=1715238224,https://boatai.myshopify.com/products/rockerz-103-pro
80,7531077664830,Rockerz 103 V2 Pro,BEAST™ Mode ASAP™️ Charge\nENx™️ Technology,simba,NeckBand,3490.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/R_103_V2_pro_9dd7801f-03cf-4ac7-8336-03c90b9cd839.jpg?v=1715238243,https://boatai.myshopify.com/products/rockerz-103-v2-pro
81,7531077042238,Rockerz 235 Pro,Voice Assistant BEAST™ Mode\nENx™ Technology,simba,NeckBand,1990.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/boAt-Rockerz-235-Pro.jpg?v=1715238229,https://boatai.myshopify.com/products/rockerz-235-pro
82,7531076485182,Rockerz 235 V2,10mm Drivers Fast Charging,simba,NeckBand,2990.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/Rockerz_235_V2_ac99fe3f-ea0d-4a97-ae36-ee20e835dbe8.png?v=1715238216,https://boatai.myshopify.com/products/rockerz-235-v2
83,7531077599294,Rockerz 245 Pro,ENx™ Technology ASAP Charge\nIPX4 Water Resistance,simba,NeckBand,2499.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/boAt-Rockerz-245-Pro.jpg?v=1715238241,https://boatai.myshopify.com/products/rockerz-245-pro
84,7531076681790,Rockerz 245 V2,IPX5 Water Resistance ASAP Charge\nBluetooth v5.0,simba,NeckBand,2990.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/Rockerz_245v2.jpg?v=1715238220,https://boatai.myshopify.com/products/rockerz-245-v2
85,7531076943934,Rockerz 255,10mm Drivers IPX5 Water Resistance\nboAt Signature Audio,simba,NeckBand,2990.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/rockerz_255.jpg?v=1715238226,https://boatai.myshopify.com/products/rockerz-255
86,7531077337150,Rockerz 255 Neo,BEAST™ Mode ENx™ Technology\nASAP Charge,simba,NeckBand,2990.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/rockerz_255_neo_56af73b4-775b-44d9-adc8-ae30fb85d748.jpg?v=1715238235,https://boatai.myshopify.com/products/rockerz-255-neo
87,7531076583486,Rockerz 255 Pro+,10mm Drivers boAt Signature Sound\nASAP Charge,simba,NeckBand,3990.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/r255pro_55d805bc-f2e1-4861-9533-8eee57081305.jpg?v=1715238218,https://boatai.myshopify.com/products/rockerz-255-pro
88,7531077992510,Rockerz 255F,IPX5 Water Resistance 110 mAh Battery\nboAt Signature Audio,simba,NeckBand,2990.00,https://cdn.shopify.com/s/files/1/0575/8418/9502/files/rockerz-255f-red_300x_d6e83af3-df5a-4db6-a894-9a2928223983.png?v=1715238250,https://boatai.myshopify.com/products/rockerz-255f
